Latitude,Longitude,Elevation(m),LocalDate,LocalTime,LimitingMag,SQMReading,CloudCover,Constellation
45.8072,6.0685,682.04,2017-05-21,23:27,6,,clear,
45.3552,5.94602,263.01,2017-05-21,03:22,5,,clear,
48.3945,1.20315,190.69,2017-05-21,01:45,6,,clear,
43.9064,5.72666,562.35,2017-04-27,23:15,6,,clear,Leo
43.8331,5.78414,380.17,2017-05-17,23:00,5,,clear,Leo
43.8002,5.75025,382.87,2017-04-28,23:30,6,,clear,Leo
45.8072,6.06829,678.85,2017-05-17,23:50,6,,clear,
43.6916,3.88068,110.99,2017-04-27,08:01,3,17.25,clear,
44.3505,3.58099,646.8,2017-05-02,22:34,4,18.98,clear,
44.3517,3.57495,526.67,2017-05-02,22:35,5,19.15,clear,
43.5291,5.44743,202.18,2017-05-06,23:25,4,18.78,clear,
44.3233,3.59476,550.25,2017-05-09,18:39,2,15.65,clear,
44.323,3.59345,555.05,2017-05-10,17:07,1,15.12,clear,
45.6898,3.22343,418.13,2017-04-06,00:11,5,19.02,1/2 of sky,
43.4886,-1.53656,52.45,2017-04-11,21:49,4,18.31,clear,
43.4886,-1.53712,51.52,2017-04-11,21:51,4,18.42,clear,
45.6898,3.22332,416.4,2017-04-11,23:51,5,19.7,clear,
43.4297,6.80102,57.07,2017-04-11,22:16,5,20.34,clear,
43.4295,6.80091,55.32,2017-04-11,22:19,6,20.55,clear,
43.4295,6.80092,55.33,2017-04-11,22:20,5,19.21,clear,
43.4296,6.80098,56.32,2017-04-11,22:22,4,18.73,clear,
43.4298,6.80132,58.21,2017-04-11,22:25,4,18.86,clear,
43.4298,6.80132,58.21,2017-04-11,22:26,5,19.42,clear,
43.4296,6.80099,56.35,2017-04-11,22:29,5,19.75,clear,
43.4884,-1.53731,51.55,2017-04-15,22:36,5,19.03,clear,
48.4817,1.52689,130.14,2017-04-20,01:12,5,20.32,clear,
43.929,5.25755,243.77,2017-04-22,21:47,5,20.26,clear,
43.9966,5.18712,376.45,2017-04-22,22:29,6,21.78,clear,
43.2768,3.49182,5.15,2017-04-22,23:35,4,18.92,clear,
48.7404,2.23767,72.88,2017-04-23,22:02,4,17.83,clear,
48.7404,2.23798,74.1,2017-04-23,22:46,4,18.33,clear,
48.4818,1.52689,129.26,2017-04-24,05:00,6,21.0,clear,
43.9291,5.25764,244.08,2017-04-24,22:47,6,20.65,clear,
49.5704,0.599785,140.0,2017-04-26,22:36,3,,1/2 of sky,Leo
45.2471,3.80608,937.73,2017-04-25,02:55,3,,clear,Leo
45.8721,6.46491,1486.32,2017-04-22,23:30,5,,clear,Leo
48.3947,1.20312,191.52,2017-04-22,00:02,6,,clear,
46.0485,6.34697,655.64,2017-04-21,23:08,4,,clear,Leo
46.8546,-1.79191,54.33,2017-04-21,23:01,5,,clear,
45.8071,6.0683,679.67,2017-04-21,23:01,6,,clear,
47.5737,6.86249,337.71,2017-04-20,23:11,4,18.94,clear,Leo
44.7176,4.6654,210.47,2017-04-20,23:07,4,,clear,
46.0613,6.36229,472.22,2017-04-20,22:56,4,,clear,Leo
46.0483,6.34679,658.18,2017-04-18,22:31,4,,clear,Leo
46.0523,6.35868,595.11,2017-04-18,21:52,4,,clear,Leo
48.5413,-2.7258,48.89,2017-04-16,22:56,5,,clear,
45.8072,6.06835,679.76,2017-04-14,23:08,6,,clear,
43.4248,6.7689,7.17,2017-04-14,22:16,6,21.42,clear,
45.2484,5.81546,437.23,2017-04-13,22:05,4,,clear,Leo
43.4296,6.80092,56.2,2017-03-26,00:44,5,19.86,clear,
44.3277,3.58767,567.7,2017-04-03,21:29,4,18.67,clear,
45.1644,5.76909,245.75,2017-04-03,23:00,4,,1/4 of sky,Leo
45.7579,3.10982,407.82,2017-03-30,21:25,3,,1/4 of sky,Leo
45.2224,5.77966,341.27,2017-03-29,21:08,4,,clear,Leo
47.659,6.72704,374.81,2017-03-28,23:30,5,19.94,clear,Leo
43.5661,-1.437,43.23,2017-03-28,22:09,4,,clear,
46.1528,-1.0907,5.72,2017-03-28,23:40,5,,clear,
45.2729,3.76253,1004.54,2017-03-28,23:11,5,,clear,Leo
43.4296,6.801,56.37,2017-03-28,22:57,5,20.23,clear,
43.4295,6.8009,55.31,2017-03-28,22:48,4,18.55,clear,
43.4296,6.8009,56.16,2017-03-28,22:34,4,,clear,
43.5661,-1.437,43.23,2017-03-28,22:09,4,,clear,
43.5661,-1.437,43.23,2017-03-28,22:09,4,,clear,
43.5661,-1.437,43.23,2017-03-28,22:09,4,,clear,
47.7724,6.77775,1030.69,2017-03-28,03:00,5,19.98,clear,Leo
46.2593,6.05473,457.73,2017-03-27,22:00,4,,clear,Leo
45.2483,5.81546,435.86,2017-03-27,23:41,4,,clear,Leo
43.1707,-0.458189,340.83,2017-03-27,21:45,4,,1/2 of sky,Leo
48.7321,-3.45914,17.19,2017-03-26,23:13,4,,clear,Leo
46.1528,-1.091,4.64,2017-03-26,22:50,6,,clear,
46.1528,-1.09035,6.45,2017-03-26,23:19,5,,clear,
46.1528,-1.09035,6.45,2017-03-26,23:10,5,,clear,
43.4295,6.801,55.34,2017-03-26,22:59,6,21.09,clear,
43.4295,6.801,55.34,2017-03-26,00:46,5,20.34,clear,
43.4296,6.8009,56.16,2017-03-26,00:01,4,,clear,
48.3946,1.2031,190.76,2017-03-26,01:14,6,,clear,
43.4296,6.8009,56.16,2017-03-26,00:01,6,20.46,clear,
43.1557,5.89603,194.38,2017-03-25,21:26,5,19.56,clear,
43.4295,6.8011,55.34,2017-03-21,21:01,3,,clear,
48.6947,2.5995,96.0,2017-03-21,23:00,4,,1/2 of sky,Leo
