ville,departement,region,nombre_etoiles,latitude,longitude,nom_dep
Lentillac-Saint-Blaise,Lot,Occitanie,4,44.590287,2.120619,Departement de l'Aveyron
Beauregard,Hautes-alpes,Provence-Alpes-Côte d'Azur,4,44.545936,6.074481,Departement des Hautes-Alpes
Chérancé,Sarthe,Pays de la Loire,4,48.286368,0.173706,Departement de la Sarthe
Boisset-Saint-Priest,Loire,Auvergne-Rhône-Alpes,4,45.512149,4.104045,Departement de la Loire
Nantheuil,Dordogne,Nouvelle Aquitaine,4,45.413179,0.943981,Departement de la Dordogne
Rougon,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,4,43.798152,6.401464,Departement des Alpes-de-Haute-Provence
Mûrs-Erigné,Maine-et-loire,Pays de la Loire,4,47.394652,-0.5541,Departement de Maine-et-Loire
Segrois,Cote-d'or,Bourgogne-Franche-Comté,4,47.158929,4.891607,Departement de la Cote-d'Or
Curel,Alpes-de-haute-provence,,4,44.176254,5.660644,Departement des Hautes-Alpes
La Guyonnière,Vendee,Pays de la Loire,4,46.964658,-1.250028,Departement de la Vendee
Millevaches,Correze,Nouvelle Aquitaine,4,45.640904,2.09495,Departement de la Correze
Lacour-d'Arcenay,Cote-d'or,Bourgogne-Franche-Comté,4,47.362092,4.252087,Departement de la Cote-d'Or
Péronne,Somme,Hauts-de-France,4,49.932121,2.935985,Departement de la Somme
Cabrerets,Lot,Occitanie,4,44.505455,1.6539389999999998,Departement du Lot
Miribel-Lanchâtre,Isere,Auvergne-Rhône-Alpes,4,44.974385,5.619862,Departement de l'Isere
La Barre,Vendee,Pays de la Loire,4,46.789308,-1.141159,Departement de la Vendee
Mantet,Pyrenees-orientales,Occitanie,4,42.476397,2.30662,Departement des Pyrenees-Orientales
Marillet,Vendee,,4,46.566536,-0.635931,Departement de la Vendee
Saint-Bazile-de-Meyssac,Correze,Nouvelle Aquitaine,4,45.050168,1.725951,Departement de la Correze
Saint-Agnant-près-Crocq,Creuse,Nouvelle Aquitaine,4,45.802956,2.349807,Departement de la Creuse
La Chapelle-aux-Lys,Vendee,,4,46.628917,-0.658422,Departement de la Vendee
Conteville-lès-Boulogne,Pas-de-calais,Hauts-de-France,4,50.744459,1.731428,Departement du Pas-de-Calais
Loubaut,Ariege,Occitanie,4,43.18799,1.285034,Departement de la Haute-Garonne
Leigneux,Loire,Auvergne-Rhône-Alpes,3,45.751087,3.975032,Departement de la Loire
Épernay-sous-Gevrey,Cote-d'or,Bourgogne-Franche-Comté,3,47.179959,5.032354,Departement de la Cote-d'Or
Charentilly,Indre-et-loire,Centre-Val de Loire,3,47.469413,0.608699,Departement d'Indre-et-Loire
La Croisille-sur-Briance,Haute-vienne,Nouvelle Aquitaine,3,45.630203,1.581676,Departement de la Haute-Vienne
Saint-Maurice,Val-de-marne,Ile-de-France,3,48.818023,2.433454,Departement du Val-de-Marne
Pittefaux,Pas-de-calais,Hauts-de-France,3,50.75652,1.683023,Departement du Pas-de-Calais
Aubenas-les-Alpes,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,43.930829,5.680347,Departement des Alpes-de-Haute-Provence
Saint-Philibert,Cote-d'or,Bourgogne-Franche-Comté,3,47.20465,5.010822,Departement de la Cote-d'Or
Glisolles,Eure,Normandie,3,48.982885,1.020173,Departement de l'Eure
Marigny,Cote-d'or,Bourgogne-Franche-Comté,3,47.870628,4.614931,Departement de la Cote-d'Or
Cras-sur-Reyssouze,Ain,Auvergne-Rhône-Alpes,3,46.307444,5.165016,Departement de l'Ain
Guitera-les-Bains,Corse-du-sud,Corse,3,41.913501,9.085794,Departement de la Corse-du-Sud
Trégueux,Cotes-d'armor,Bretagne,3,48.490113,-2.739271,Departement des Cotes-d'Armor
Saché,Indre-et-loire,Centre-Val de Loire,3,47.246461,0.541902,Departement d'Indre-et-Loire
Les Garennes sur Loire,Maine-et-loire,Pays de la Loire,3,47.406908,-0.476601,Departement de Maine-et-Loire
Montagnieu,Ain,Auvergne-Rhône-Alpes,3,45.793185,5.46681,Departement de l'Isere
Bonnencontre,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.773985,3.524214,Departement du Puy-de-Dome
Chavagne,Loire-atlantique,Pays de la Loire,3,47.463981,-1.486877,Departement de la Loire-Atlantique
Nanteau-sur-Essonne,,,3,48.315981,2.415924,Departement du Loiret
Neuvic-Entier,Haute-vienne,Nouvelle Aquitaine,3,45.721521,1.610193,Departement de la Haute-Vienne
