ville,departement,region,nombre_etoiles,latitude,longitude
Bonnencontre,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.773985,3.524214
Chavagne,Loire-atlantique,Pays de la Loire,3,47.463981,-1.486877
Nanteau-sur-Essonne,,,3,48.315981,2.415924
Neuvic-Entier,Haute-vienne,Nouvelle Aquitaine,3,45.721521,1.610193
Saint-Pierre-de-Frugie,Dordogne,Nouvelle Aquitaine,3,45.572696,0.998347
Saint-Goussaud,Creuse,Nouvelle Aquitaine,3,46.03994,1.577573
Brézins,Isere,Auvergne-Rhône-Alpes,3,45.348848,5.306584
Brochon,Cote-d'or,Bourgogne-Franche-Comté,3,47.238675,4.969781
Eygalayes,Drome,Auvergne-Rhône-Alpes,3,44.238777,5.607203
Saint-Menges,Ardennes,Grand-Est,3,49.73814,4.925832
Bourgueil,Indre-et-loire,Centre-Val de Loire,3,47.281177,0.168367
Revel,Haute-garonne,Occitanie,3,43.457915,2.003297
Le Bastit,Aveyron,Occitanie,3,44.20863,1.970195
Hardinghen,Pas-de-calais,Hauts-de-France,3,50.799177,1.820658
Chassillé,Sarthe,Pays de la Loire,3,48.019718,-0.1167619999999999
Saint-Pierre-Avez,Hautes-alpes,Provence-Alpes-Côte d'Azur,3,44.256636,5.760907
Chagnon,Loire,Auvergne-Rhône-Alpes,3,45.533857,4.55298
Montmorin,Hautes-alpes,,3,44.451062,5.541548
Breuil-Barret,Vendee,Pays de la Loire,3,46.652449,-0.683569
Saint-Melaine-sur-Aubance,Maine-et-loire,Pays de la Loire,3,47.369439,-0.494067
Carlucet,Lot,Occitanie,3,44.721033,1.612158
Saint-Étienne-Lardeyrol,Haute-loire,Auvergne-Rhône-Alpes,3,45.070974,4.000032
Saint-Genès-du-Retz,Puy-de-dome,Auvergne-Rhône-Alpes,3,46.061268,3.213436
Labastide-du-Vert,Lot,Occitanie,3,44.51077,1.261223
Flaujac-Poujols,Lot,Occitanie,3,44.405321,1.49933
Mirabeau,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,44.062313,6.089962
Lompnieu,Ain,Auvergne-Rhône-Alpes,3,45.960879,5.660354
Fontaines-en-Sologne,Loir-et-cher,Centre-Val de Loire,3,47.509253,1.550472
Saint-Étienne-du-Vauvray,Eure,Normandie,3,49.242311,1.219001
Saint-Méard,Haute-vienne,Nouvelle Aquitaine,3,45.66489,1.54739
Cosswiller,Bas-rhin,Grand-Est,3,48.630291,7.39757
Séreilhac,Haute-vienne,Nouvelle Aquitaine,3,45.768705,1.081343
Chazelles-sur-Lavieu,Loire,Auvergne-Rhône-Alpes,3,45.538343,3.999486
La Chamba,Loire,Auvergne-Rhône-Alpes,3,45.754567,3.756397
Revest-les-Roches,Alpes-maritimes,Provence-Alpes-Côte d'Azur,3,43.880102,7.1562
Leulinghen-Bernes,Pas-de-calais,Hauts-de-France,3,50.830465,1.717912
Les Pieux,Manche,Normandie,3,49.512529,-1.807678
Houldizy,Ardennes,Grand-Est,3,49.810229,4.668869
Saint-Victor-sur-Rhins,Loire,Auvergne-Rhône-Alpes,3,46.003805,4.280623
Choue,Loir-et-cher,Centre-Val de Loire,3,47.997744,0.928238
La Vacherie,Lozere,Occitanie,3,44.519168,3.477406
Cremps,Lot,Occitanie,3,44.388627,1.598962
Vernou-la-Celle-sur-Seine,Seine-et-marne,Ile-de-France,3,48.387498,2.846017
Rilhac-Lastours,Haute-vienne,Nouvelle Aquitaine,3,45.64866,1.120178
Écommoy,Sarthe,Pays de la Loire,3,47.827688,0.27299
Bayenghem-lès-Seninghem,Pas-de-calais,Hauts-de-France,3,50.699934,2.075928
Poncey-lès-Athée,Cote-d'or,Bourgogne-Franche-Comté,3,47.239826,5.387701
Ressons-le-Long,Aisne,Hauts-de-France,3,49.387512,3.14733
Clénay,Cote-d'or,Bourgogne-Franche-Comté,3,47.403521,5.120414
Croze,Vaucluse,Provence-Alpes-Côte d'Azur,3,43.68793,5.450329
Barges,Haute-loire,Auvergne-Rhône-Alpes,3,44.83597,3.89335
Peyrelevade,Dordogne,Nouvelle Aquitaine,3,44.865604,0.528937
La Chapelle-Vendômoise,Loir-et-cher,Centre-Val de Loire,3,47.670613,1.238199
Reulle-Vergy,Cote-d'or,Bourgogne-Franche-Comté,3,47.185908,4.893876
Campagna-de-Sault,Aude,Occitanie,3,42.75946,2.053088
Châteauvieux,Creuse,Nouvelle Aquitaine,3,46.190642,1.863661
Pageas,Haute-vienne,Nouvelle Aquitaine,3,45.67721,0.999707
Châtenoy,Loiret,Centre-Val de Loire,3,47.918141,2.396204
Nouaillé-Maupertuis,Vienne,Nouvelle Aquitaine,3,46.508571,0.413388
Sèvres-Anxaumont,Vienne,Nouvelle Aquitaine,3,46.569166,0.4640669999999999
Saint-Pons,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,3,44.350016,6.379999
Sornac,Correze,Nouvelle Aquitaine,3,45.666858,2.192141
Maillet,Indre,Centre-Val de Loire,3,46.572515,1.678578
Lay,Loire,Auvergne-Rhône-Alpes,3,45.954968,4.217509
Pouru-aux-Bois,Ardennes,Grand-Est,3,49.705756,5.090925
Sceaux-sur-Huisne,Sarthe,Pays de la Loire,3,48.104588,0.582664
Sigoyer,Hautes-alpes,Provence-Alpes-Côte d'Azur,3,44.477132,5.9755
Saint-Sylvain,Calvados,Normandie,3,49.055956,-0.2173409999999999
Arçay,Cher,Centre-Val de Loire,3,46.948314,2.33998
Boigneville,Essonne,Ile-de-France,3,48.334646,2.371186
Vabre,Tarn,Occitanie,3,43.692218,2.425833
Balaives-et-Butz,Ardennes,Grand-Est,3,49.672722,4.733635
Saint-Hostien,Haute-loire,Auvergne-Rhône-Alpes,3,45.071443,4.047059
Saint-Genès-Champanelle,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.720181,3.017998
Cizay-la-Madeleine,Maine-et-loire,Pays de la Loire,3,47.188148,-0.187529
Roggenhouse,Haut-rhin,Grand-Est,3,47.88951,7.470169
Écordal,Ardennes,Grand-Est,3,49.527413,4.579588
Leschères,Jura,Bourgogne-Franche-Comté,3,46.451535,5.826371
Campagne-lès-Guines,Pas-de-calais,Hauts-de-France,3,50.839412,1.903313
Chaumont d'Anjou,Maine-et-loire,Pays de la Loire,3,47.55189,-0.23635
Giat,Puy-de-dome,Auvergne-Rhône-Alpes,3,45.801769,2.466984
Treize-Vents,Correze,Nouvelle Aquitaine,3,45.268,1.7857189999999998
Le Plessis Grammoire,Maine-et-loire,Pays de la Loire,3,47.500173,-0.43081
Le Brignon,Haute-loire,Auvergne-Rhône-Alpes,3,44.935123,3.879717
Belmont-Sainte-Foi,Lot,Occitanie,3,44.281905,1.6316739999999998
Novion-Porcien,Ardennes,Grand-Est,3,49.599462,4.422777
Cayres,Haute-loire,Auvergne-Rhône-Alpes,3,44.924877,3.806046
Puyjourdes,Lot,Occitanie,3,44.406941,1.859739
Lissac,Ariege,Occitanie,3,43.268709,1.510415
Saint-Pierre-de-Genebroz,Savoie,Auvergne-Rhône-Alpes,3,45.452265,5.753769
Quesques,Pas-de-calais,Hauts-de-France,3,50.703265,1.931728
Douzens,Aude,Occitanie,2,43.185572,2.596815
Montaigut-le-Blanc,Creuse,Nouvelle Aquitaine,2,46.121057,1.7347739999999998
Mérindol,Vaucluse,Provence-Alpes-Côte d'Azur,2,43.755152,5.202624
Verteuil-sur-Charente,Charente,Nouvelle Aquitaine,2,45.981646,0.228785
Périers,Manche,Normandie,2,49.185635,-1.4077
Saint-Denis-du-Payré,Vendee,Pays de la Loire,2,46.406681,-1.269142
Saint-Yrieix-le-Déjalat,Correze,Nouvelle Aquitaine,2,45.45613,1.971283
Reclinghem,Pas-de-calais,Hauts-de-France,2,50.572296,2.175524
Wismes,Pas-de-calais,Hauts-de-France,2,50.653232,2.071141
Lérigneux,Loire,Auvergne-Rhône-Alpes,2,45.600784,3.964691
Saint-Julien-Chapteuil,Haute-loire,Auvergne-Rhône-Alpes,2,45.034398,4.060336
Le Poët-Sigillat,Drome,Auvergne-Rhône-Alpes,2,44.368659,5.316882
Villé,Bas-rhin,Grand-Est,2,48.342737,7.303237
Le-Grand-Village-Plage,Charente-maritime,Nouvelle Aquitaine,2,45.859593,-1.237092
Magny-lès-Aubigny,Cote-d'or,Bourgogne-Franche-Comté,2,47.110698,5.176173
Saint-Jeannet,Tarn,Occitanie,2,43.922082,1.735087
Anchamps,Ardennes,Grand-Est,2,49.93146,4.67423
Saint-Georges-Haute-Ville,Loire,Auvergne-Rhône-Alpes,2,45.553629,4.098462
Lézigneux,Loire,Auvergne-Rhône-Alpes,2,45.566604,4.060255
Le Grand-Bourg,Creuse,Nouvelle Aquitaine,2,46.159641,1.644457
Laprade,Lot-et-garonne,Nouvelle Aquitaine,2,44.182453,0.297183
Gourdon,Lot,Occitanie,2,44.736817,1.381841
Châteldon,Puy-de-dome,Auvergne-Rhône-Alpes,2,45.976533,3.519209
La Possession,Reunion,,2,-20.99646,55.409766
Vitrimont,Meurthe-et-moselle,Grand-Est,2,48.60061,6.439112
Cellieu,Loire,Auvergne-Rhône-Alpes,2,45.522329,4.539845
Ajoncourt,,Grand-Est,2,48.844314,6.288818
Le Juch,Finistere,Bretagne,2,48.065358,-4.255706
Val d'Oronaye,Alpes-de-haute-provence,Provence-Alpes-Côte d'Azur,2,44.476169,6.798476
Montval-sur-Loir,Sarthe,Pays de la Loire,2,47.693176,0.417263
